id,city,temperature,humidity,description
60,Belém,38.9,52,chuva
61,São Paulo,29.3,37,poucas nuvens
62,Teresina,5.4,47,chuva leve
63,São Gonçalo,31.5,44,céu limpo
64,Goiania,8.1,37,neve
65,Manaus,13.1,69,céu limpo
66,São Paulo,23.6,81,chuva leve
67,Porto Alegre,22.3,51,chuva
68,Duque de Caxias,25.6,31,trovoada
69,São Gonçalo,3.1,62,trovoada
70,Goiania,9.8,70,poucas nuvens
71,Duque de Caxias,7.9,77,poucas nuvens
72,Belém,14.7,27,névoa
73,Belo Horizonte,36.5,81,trovoada
74,Recife,15.3,94,chuva leve
75,Curitiba,37.7,87,céu limpo
76,Salvador,19.2,57,nuvens quebradas
77,Fortaleza,16.1,20,trovoada
78,Teresina,28.8,59,neve
79,Fortaleza,37.9,87,chuva
80,Rio de Janeiro,34.6,62,nuvens dispersas
81,Brasília,13.8,80,névoa
82,São Luís,23.2,30,trovoada
83,São Paulo,0.9,69,chuva leve
84,Goiania,27.7,41,trovoada
85,Belém,18.2,56,neve
86,São Gonçalo,-4.6,24,céu limpo
87,Teresina,27.9,32,céu limpo
88,Natal,13.4,45,nuvens dispersas
89,Belém,6.4,25,poucas nuvens
90,Recife,24.1,52,nuvens dispersas
91,Duque de Caxias,29.7,36,chuva
92,Guarulhos,23.4,92,céu limpo
93,Belo Horizonte,15.7,27,céu limpo
94,São Gonçalo,27.2,43,neve
95,Belo Horizonte,32.9,72,nuvens quebradas
96,Brasília,25.8,56,chuva
97,Teresina,24.6,33,neve
98,Fortaleza,11.4,56,névoa
99,Fortaleza,39.6,66,poucas nuvens
100,São Luís,5.7,45,chuva
101,São Luís,33.9,86,névoa
102,Curitiba,23.6,54,névoa
103,Guarulhos,28.3,41,nuvens quebradas
104,Rio de Janeiro,7.0,46,poucas nuvens
105,Salvador,17.1,100,chuva
106,Rio de Janeiro,10.1,83,poucas nuvens
107,Campinas,20.9,98,céu limpo
108,Manaus,15.8,41,chuva leve
109,Manaus,-3.1,46,névoa
110,Rio de Janeiro,15.5,53,poucas nuvens
111,Fortaleza,31.8,68,chuva leve
112,Porto Alegre,36.1,64,poucas nuvens
113,Belém,33.5,42,nuvens dispersas
114,Teresina,17.9,94,névoa
115,Manaus,13.4,26,céu limpo
116,Fortaleza,3.3,37,névoa
117,São Paulo,26.4,69,chuva
118,Porto Alegre,14.1,64,céu limpo
119,Belém,-2.3,62,nuvens dispersas
120,Manaus,8.6,61,céu limpo
121,Fortaleza,-2.0,95,chuva leve
122,Guarulhos,15.8,71,poucas nuvens
123,Natal,32.5,53,névoa
124,Porto Alegre,33.3,78,chuva
125,Natal,27.3,30,nuvens quebradas
126,Maceió,18.7,34,neve
127,Teresina,-0.2,49,nuvens quebradas
128,Maceió,1.6,25,nuvens quebradas
129,Natal,28.6,86,neve
130,Porto Alegre,19.5,72,nuvens quebradas
131,Salvador,21.6,65,neve
132,Maceió,13.4,48,nuvens dispersas
133,São Paulo,4.8,55,chuva leve
134,São Luís,26.8,54,céu limpo
135,Guarulhos,31.3,83,nuvens dispersas
136,São Luís,17.4,28,nuvens dispersas
137,Belém,3.6,20,trovoada
138,Salvador,6.4,76,neve
139,Recife,25.8,28,trovoada
140,Porto Alegre,33.0,71,nuvens dispersas
141,Maceió,30.1,89,poucas nuvens
142,Campinas,14.1,66,neve
143,Belém,1.0,21,trovoada
144,São Gonçalo,23.5,78,nuvens dispersas
145,Guarulhos,-0.2,46,névoa
146,São Luís,25.3,63,chuva leve
147,Salvador,32.5,24,nuvens quebradas
148,Campinas,-0.9,90,neve
149,Natal,32.4,24,nuvens dispersas
150,Manaus,23.8,26,trovoada
151,Goiania,6.5,88,nuvens quebradas
152,Salvador,22.9,93,nuvens dispersas
153,Brasília,15.0,84,neve
154,Maceió,27.0,69,nuvens dispersas
155,Guarulhos,35.3,93,céu limpo
156,Brasília,-4.4,80,céu limpo
157,Manaus,14.3,90,poucas nuvens
158,Fortaleza,9.2,23,neve
159,Manaus,23.6,43,chuva leve
160,São Gonçalo,5.4,97,nuvens dispersas
161,Salvador,16.1,32,neve
162,Manaus,5.1,37,trovoada
163,Rio de Janeiro,12.2,35,névoa
164,Teresina,26.4,45,neve
165,Salvador,4.2,78,nuvens dispersas
166,Belo Horizonte,17.5,43,neve
167,Rio de Janeiro,32.8,79,nuvens dispersas
168,Fortaleza,36.2,68,trovoada
169,São Paulo,4.1,60,céu limpo
170,Belém,34.0,59,nuvens dispersas
171,Manaus,24.7,51,poucas nuvens
172,Manaus,30.4,93,nuvens quebradas
173,Rio de Janeiro,27.8,26,nuvens quebradas
174,Teresina,20.7,56,névoa
175,Guarulhos,-1.0,38,chuva
176,Fortaleza,22.1,34,trovoada
177,Fortaleza,29.3,36,céu limpo
178,Recife,37.2,52,neve
179,Curitiba,-3.2,99,nuvens quebradas
180,Guarulhos,29.4,92,névoa
181,Guarulhos,8.0,65,nuvens dispersas
182,Teresina,25.3,55,neve
183,Porto Alegre,38.4,25,chuva leve
184,São Paulo,-4.1,83,trovoada
185,São Gonçalo,24.7,95,nuvens dispersas
186,Goiania,25.7,38,neve
187,São Gonçalo,21.5,98,neve
188,Belo Horizonte,20.2,51,chuva leve
189,Belém,30.7,49,chuva
190,Manaus,8.8,32,chuva
191,Goiania,0.3,21,trovoada
192,São Paulo,14.8,37,nuvens quebradas
193,São Paulo,39.8,27,céu limpo
194,Belo Horizonte,28.7,72,névoa
195,Guarulhos,37.2,77,poucas nuvens
196,Rio de Janeiro,32.6,66,nuvens dispersas
197,Natal,31.5,20,chuva leve
198,Teresina,32.6,86,poucas nuvens
199,Teresina,0.0,59,nuvens quebradas
200,Campinas,26.4,53,poucas nuvens
201,Duque de Caxias,4.2,38,neve
202,Brasília,29.1,24,céu limpo
203,Natal,5.7,96,nuvens quebradas
204,Curitiba,-1.0,61,céu limpo
205,Manaus,9.3,93,nuvens dispersas
206,São Paulo,27.2,85,nuvens dispersas
207,Rio de Janeiro,-2.5,62,trovoada
208,Guarulhos,8.3,54,névoa
209,Recife,36.5,96,névoa
210,Curitiba,24.6,80,nuvens dispersas
211,São Luís,36.3,30,nuvens quebradas
212,São Luís,3.8,83,nuvens quebradas
213,Belém,22.6,39,trovoada
214,Maceió,9.7,85,trovoada
215,Guarulhos,0.1,22,nuvens dispersas
216,Fortaleza,30.2,30,nuvens quebradas
217,São Paulo,26.1,67,neve
218,Rio de Janeiro,7.5,97,nuvens dispersas
219,Guarulhos,28.5,100,chuva
220,Brasília,16.5,60,nuvens dispersas
221,Belém,-3.5,25,nuvens quebradas
222,Goiania,-3.6,85,trovoada
223,Curitiba,29.6,59,nuvens quebradas
224,São Luís,17.4,72,chuva
225,Porto Alegre,-2.3,81,trovoada
226,Salvador,16.0,64,poucas nuvens
227,Belo Horizonte,16.4,35,nuvens quebradas
228,Teresina,29.4,43,céu limpo
229,Guarulhos,5.7,57,nuvens dispersas
230,Rio de Janeiro,13.4,63,nuvens dispersas
231,Duque de Caxias,17.9,32,nuvens quebradas
232,Goiania,1.3,35,nuvens quebradas
233,Belém,29.8,49,chuva leve
234,São Gonçalo,24.8,71,poucas nuvens
235,Guarulhos,5.5,33,poucas nuvens
236,Duque de Caxias,5.7,55,poucas nuvens
237,Natal,2.8,35,céu limpo
238,Brasília,16.3,35,trovoada
239,São Paulo,23.2,74,poucas nuvens
240,Goiania,-3.5,85,neve
241,Porto Alegre,-0.1,34,neve
242,Campinas,33.0,57,chuva leve
243,Rio de Janeiro,24.9,22,nuvens quebradas
244,São Paulo,-1.7,45,chuva leve
245,Curitiba,36.4,88,céu limpo
246,Maceió,26.7,46,poucas nuvens
247,Fortaleza,17.3,59,chuva leve
248,Maceió,-4.4,34,céu limpo
249,Teresina,39.7,30,poucas nuvens
250,Recife,26.6,94,trovoada
251,Natal,36.3,94,nuvens quebradas
252,Maceió,21.8,44,chuva leve
253,Rio de Janeiro,28.1,98,chuva
254,Teresina,11.6,41,neve
255,Salvador,27.3,64,nuvens dispersas
256,Duque de Caxias,16.0,99,névoa
257,Belo Horizonte,12.2,92,nuvens dispersas
258,Guarulhos,27.5,94,trovoada
259,Campinas,24.7,69,névoa
260,Belo Horizonte,-3.0,57,neve
261,Campinas,4.0,30,céu limpo
262,Porto Alegre,15.3,69,céu limpo
263,Guarulhos,8.3,50,nuvens quebradas
264,Rio de Janeiro,20.3,27,nuvens dispersas
265,Recife,11.9,66,chuva leve
266,São Luís,34.0,29,nuvens quebradas
267,Teresina,12.9,69,trovoada
268,Recife,0.5,58,poucas nuvens
269,Teresina,3.9,66,chuva
270,Brasília,-1.6,60,trovoada
271,Brasília,35.4,61,névoa
272,São Luís,-1.7,72,trovoada
273,Teresina,36.7,27,céu limpo
274,Curitiba,27.5,78,chuva
275,Maceió,27.2,78,chuva
276,Belo Horizonte,3.4,29,chuva leve
277,Campinas,32.4,96,chuva leve
278,Guarulhos,5.9,68,céu limpo
279,São Paulo,19.3,98,poucas nuvens
280,Duque de Caxias,29.8,81,neve
281,Duque de Caxias,20.5,40,neve
282,Brasília,30.8,46,céu limpo
283,Duque de Caxias,36.2,86,chuva leve
284,São Gonçalo,25.5,46,trovoada
285,Porto Alegre,3.2,45,poucas nuvens
286,São Gonçalo,18.0,68,chuva
287,Belo Horizonte,22.5,91,chuva
288,Rio de Janeiro,-0.8,88,céu limpo
289,São Luís,9.6,76,chuva leve
290,Goiania,26.3,53,poucas nuvens
291,Recife,29.4,43,chuva
292,Goiania,2.6,91,poucas nuvens
293,Goiania,30.9,63,nuvens quebradas
294,Guarulhos,20.0,98,trovoada
295,Belém,21.0,43,céu limpo
296,Maceió,8.9,96,poucas nuvens
297,São Luís,-3.8,97,nuvens quebradas
298,São Paulo,4.8,42,névoa
299,Teresina,3.0,100,poucas nuvens
300,Natal,28.9,40,poucas nuvens
301,Salvador,8.4,36,névoa
302,Belém,30.2,72,nuvens quebradas
303,Maceió,38.9,34,nuvens quebradas
304,Teresina,-4.9,79,poucas nuvens
305,Fortaleza,16.7,23,nuvens quebradas
306,Maceió,12.0,66,céu limpo
307,Natal,8.1,84,trovoada
308,São Paulo,19.2,33,neve
309,Goiania,37.1,57,poucas nuvens
310,Duque de Caxias,0.9,42,trovoada
311,São Paulo,7.8,34,trovoada
312,Rio de Janeiro,-1.3,24,neve
313,Natal,25.3,84,névoa
314,Duque de Caxias,33.5,34,nuvens quebradas
315,Guarulhos,3.0,78,névoa
316,Belém,38.5,42,chuva leve
317,São Gonçalo,16.4,100,céu limpo
318,Rio de Janeiro,37.0,26,névoa
319,Porto Alegre,28.5,70,nuvens quebradas
320,Recife,0.8,91,trovoada
321,Duque de Caxias,-3.6,67,névoa
322,Duque de Caxias,17.5,90,trovoada
323,Goiania,6.7,81,poucas nuvens
324,Salvador,14.8,37,nuvens dispersas
325,São Gonçalo,1.1,65,chuva
326,Teresina,34.7,74,névoa
327,Recife,3.9,78,nuvens quebradas
328,Brasília,4.4,63,névoa
329,São Luís,19.0,24,neve
330,Brasília,39.7,34,céu limpo
331,Salvador,39.1,37,céu limpo
332,Maceió,-1.2,93,nuvens dispersas
333,Rio de Janeiro,17.5,25,névoa
334,Belém,22.8,26,neve
335,Campinas,26.4,24,trovoada
336,Goiania,18.1,60,poucas nuvens
337,Curitiba,5.0,83,chuva leve
338,Curitiba,35.0,43,céu limpo
339,Teresina,38.6,35,névoa
340,Recife,21.8,64,nuvens quebradas
341,Belo Horizonte,26.4,47,trovoada
342,São Luís,16.0,99,chuva
343,Goiania,25.8,43,céu limpo
344,Brasília,24.3,57,nuvens quebradas
345,Curitiba,37.1,64,trovoada
346,Fortaleza,11.5,32,neve
347,Recife,39.5,78,céu limpo
348,Natal,2.9,29,céu limpo
349,São Gonçalo,7.8,71,neve
350,Belém,22.0,35,céu limpo
351,Curitiba,12.7,57,neve
352,São Paulo,16.0,37,neve
353,São Gonçalo,31.5,83,nuvens dispersas
354,Campinas,-0.8,66,névoa
355,Porto Alegre,33.5,87,chuva
356,Goiania,38.0,66,nuvens quebradas
357,Maceió,14.8,48,neve
358,Fortaleza,31.6,22,trovoada
359,Recife,26.2,68,nuvens quebradas
360,Belém,28.3,87,névoa
361,São Luís,15.5,98,nuvens dispersas
362,Guarulhos,33.6,50,nuvens quebradas
363,Recife,33.3,81,névoa
364,Guarulhos,2.1,56,neve
365,Recife,28.1,53,trovoada
366,Fortaleza,-1.9,55,chuva
367,São Paulo,1.2,28,névoa
368,São Gonçalo,22.8,58,poucas nuvens
369,Belém,0.9,81,chuva leve
370,Recife,-4.0,46,poucas nuvens
371,Porto Alegre,9.9,53,névoa
372,Brasília,3.5,83,neve
373,Duque de Caxias,4.4,73,neve
374,Porto Alegre,28.7,81,trovoada
375,Guarulhos,19.6,23,chuva leve
376,Belo Horizonte,2.3,25,poucas nuvens
377,Porto Alegre,9.2,65,céu limpo
378,São Luís,30.3,76,nuvens dispersas
379,Belo Horizonte,24.2,30,neve
380,Natal,16.8,31,chuva leve
381,Belém,6.3,69,trovoada
382,Maceió,-1.9,95,chuva
383,Campinas,17.1,56,nuvens quebradas
384,Manaus,10.0,58,chuva leve
385,Curitiba,39.3,67,nuvens dispersas
386,Rio de Janeiro,13.1,94,céu limpo
387,Recife,6.4,93,nuvens quebradas
388,São Luís,39.9,87,névoa
389,Rio de Janeiro,20.6,36,chuva
390,Natal,24.8,41,chuva
391,Curitiba,37.9,88,nuvens quebradas
392,Teresina,37.5,70,chuva leve
393,Manaus,13.5,84,poucas nuvens
394,Recife,10.7,84,chuva leve
395,Guarulhos,10.1,49,céu limpo
396,Brasília,29.7,50,neve
397,Manaus,9.9,65,nuvens quebradas
398,Teresina,21.6,98,nuvens quebradas
399,Salvador,32.0,55,chuva leve
400,Brasília,11.8,46,névoa
401,Maceió,37.0,96,névoa
402,São Luís,19.5,72,chuva leve
403,Curitiba,10.2,43,poucas nuvens
404,Belo Horizonte,37.4,84,neve
405,Manaus,4.3,31,neve
406,Salvador,28.0,35,névoa
407,Belém,31.0,37,chuva
408,Campinas,18.4,88,neve
409,São Gonçalo,5.8,36,céu limpo
410,Duque de Caxias,18.0,71,neve
411,Manaus,2.4,83,nuvens quebradas
412,Rio de Janeiro,23.6,20,neve
413,Guarulhos,16.1,71,céu limpo
414,São Paulo,17.6,99,poucas nuvens
415,São Luís,-3.8,33,céu limpo
416,Guarulhos,37.1,86,neve
417,Belém,26.1,57,chuva
418,Rio de Janeiro,30.4,35,nuvens dispersas
419,Belo Horizonte,22.2,25,neve
420,Teresina,27.0,91,nuvens dispersas
421,Belo Horizonte,6.5,94,poucas nuvens
422,Curitiba,1.6,35,chuva
423,Manaus,1.3,92,chuva
424,Natal,7.9,28,céu limpo
425,Goiania,-2.0,93,trovoada
426,São Gonçalo,38.4,100,céu limpo
427,Salvador,12.1,49,nuvens quebradas
428,Rio de Janeiro,20.0,30,nuvens dispersas
429,Manaus,-0.3,27,chuva leve
430,Belo Horizonte,25.3,38,nuvens quebradas
431,Guarulhos,17.2,97,trovoada
432,Brasília,6.2,58,chuva
433,Maceió,22.7,33,chuva
434,Rio de Janeiro,16.7,28,nuvens dispersas
435,Curitiba,-0.0,94,chuva leve
436,Porto Alegre,19.6,65,céu limpo
437,Fortaleza,18.1,42,nuvens dispersas
438,Natal,7.5,74,nuvens quebradas
439,Belém,6.9,21,chuva leve
440,Manaus,0.6,78,nuvens dispersas
441,Manaus,31.8,86,céu limpo
442,Curitiba,7.4,79,nuvens dispersas
443,São Luís,39.1,60,nuvens dispersas
444,Natal,4.9,89,nuvens quebradas
445,Rio de Janeiro,30.6,93,trovoada
446,Rio de Janeiro,36.6,84,trovoada
447,Manaus,39.3,52,trovoada
448,Recife,22.7,59,neve
449,Recife,8.4,69,poucas nuvens
450,São Paulo,37.4,31,poucas nuvens
451,Brasília,3.5,60,poucas nuvens
452,Belém,-3.7,32,poucas nuvens
453,Porto Alegre,-2.9,70,nuvens dispersas
454,Curitiba,39.7,26,neve
455,Fortaleza,5.6,43,poucas nuvens
456,Brasília,-0.1,99,céu limpo
457,Campinas,38.5,44,poucas nuvens
458,Recife,29.6,45,trovoada
459,Belo Horizonte,15.8,42,trovoada
460,Brasília,26.0,82,nuvens quebradas
461,Belo Horizonte,5.7,48,neve
462,Salvador,17.2,89,trovoada
463,Belo Horizonte,24.8,97,nuvens dispersas
464,Natal,7.1,63,nuvens quebradas
465,Maceió,4.5,89,céu limpo
466,Goiania,24.6,51,neve
467,Duque de Caxias,15.2,96,nuvens quebradas
468,Teresina,10.8,36,névoa
469,São Gonçalo,31.2,33,névoa
470,Curitiba,26.0,67,nuvens quebradas
471,Belo Horizonte,37.2,30,chuva leve
472,Belém,3.2,37,chuva leve
473,Duque de Caxias,37.3,38,chuva
474,Natal,22.0,50,poucas nuvens
475,São Luís,22.8,32,trovoada
476,Maceió,7.0,39,chuva leve
477,Campinas,34.1,98,trovoada
478,Recife,39.4,71,névoa
479,Curitiba,4.7,28,poucas nuvens
480,Guarulhos,13.1,31,céu limpo
481,Duque de Caxias,36.2,29,poucas nuvens
482,São Gonçalo,11.0,46,neve
483,Manaus,7.3,29,trovoada
484,Goiania,30.0,89,névoa
485,Duque de Caxias,33.2,25,neve
486,Curitiba,28.8,92,trovoada
487,Campinas,28.3,69,nuvens dispersas
488,Natal,24.7,45,nuvens quebradas
489,Brasília,28.2,53,céu limpo
490,Porto Alegre,17.6,31,névoa
491,Duque de Caxias,-1.1,100,nuvens quebradas
492,Maceió,35.1,66,neve
493,Belém,19.8,29,trovoada
494,Maceió,-2.3,42,névoa
495,Recife,-2.3,98,chuva
496,Recife,28.1,41,chuva
497,Belém,-1.2,70,céu limpo
498,Rio de Janeiro,35.2,73,névoa
499,Duque de Caxias,26.9,68,chuva leve
500,Campinas,27.4,33,nuvens quebradas
501,Maceió,22.7,22,céu limpo
502,Goiania,16.7,100,chuva
503,Natal,39.7,56,trovoada
504,Brasília,3.1,21,poucas nuvens
505,Natal,15.4,49,trovoada
506,Duque de Caxias,19.5,93,céu limpo
507,São Gonçalo,36.9,21,névoa
508,Goiania,3.2,53,céu limpo
509,Recife,25.7,30,neve
510,Campinas,3.0,96,nuvens quebradas
511,Belém,0.6,63,nuvens dispersas
512,Fortaleza,24.8,78,nuvens quebradas
513,Maceió,1.2,71,trovoada
514,São Luís,28.7,35,névoa
515,Brasília,31.2,25,chuva leve
516,Brasília,19.8,88,névoa
517,Fortaleza,25.9,52,poucas nuvens
518,Duque de Caxias,36.6,27,poucas nuvens
519,Recife,-1.9,73,nuvens quebradas
520,Teresina,19.1,29,nuvens dispersas
521,Duque de Caxias,28.0,26,neve
522,Belo Horizonte,37.4,25,poucas nuvens
523,Belém,25.5,54,céu limpo
524,Curitiba,28.9,82,nuvens dispersas
525,Rio de Janeiro,22.4,46,céu limpo
526,Belo Horizonte,21.4,70,trovoada
527,São Paulo,10.2,92,chuva
528,Belo Horizonte,31.9,22,nuvens dispersas
529,Porto Alegre,31.9,59,névoa
530,Teresina,34.0,89,céu limpo
531,Salvador,1.0,92,poucas nuvens
532,Manaus,30.6,25,nuvens dispersas
533,Recife,31.7,53,chuva
534,Curitiba,-0.8,72,trovoada
535,Recife,33.6,27,nuvens dispersas
536,Curitiba,35.7,76,névoa
537,São Paulo,3.8,49,trovoada
538,Brasília,38.9,68,poucas nuvens
539,Rio de Janeiro,-0.5,87,neve
540,Salvador,35.2,56,névoa
541,Rio de Janeiro,7.2,59,nuvens dispersas
542,Brasília,-3.4,44,chuva leve
543,São Luís,-0.0,55,poucas nuvens
544,São Gonçalo,17.7,72,névoa
545,Belo Horizonte,9.3,73,céu limpo
546,Belo Horizonte,19.6,97,névoa
547,Salvador,20.3,88,trovoada
548,Fortaleza,12.8,37,névoa
549,Rio de Janeiro,7.5,86,trovoada
550,Salvador,34.9,85,chuva leve
551,Maceió,4.9,41,neve
552,São Gonçalo,27.9,100,neve
553,Natal,-1.0,76,trovoada
554,Duque de Caxias,3.2,88,chuva leve
555,Fortaleza,38.7,86,chuva
556,Guarulhos,22.8,58,chuva
557,São Luís,1.4,40,chuva leve
558,Campinas,25.6,83,névoa
559,Manaus,3.9,58,poucas nuvens
560,Curitiba,-4.0,100,nuvens quebradas
561,Brasília,19.8,89,névoa
562,Natal,-3.1,98,nuvens dispersas
563,Guarulhos,5.2,93,névoa
564,Belém,-4.1,53,neve
565,Teresina,10.9,64,nuvens quebradas
566,Duque de Caxias,12.2,91,nuvens quebradas
567,Fortaleza,3.7,20,nuvens quebradas
568,Campinas,19.3,88,neve
569,Curitiba,-0.8,56,chuva leve
570,Rio de Janeiro,-0.3,25,névoa
571,Maceió,13.3,31,chuva
572,Goiania,28.2,77,nuvens quebradas
573,Manaus,12.7,49,neve
574,Recife,-0.3,56,chuva leve
575,Salvador,4.0,98,névoa
576,Brasília,39.2,21,neve
577,São Paulo,25.4,95,céu limpo
578,Rio de Janeiro,16.4,41,poucas nuvens
579,Natal,-0.9,43,trovoada
580,Belo Horizonte,19.5,87,neve
581,Fortaleza,29.0,55,chuva
582,Manaus,-3.3,60,poucas nuvens
583,Goiania,19.6,63,chuva leve
584,Belém,-3.2,23,chuva
585,Rio de Janeiro,16.1,34,chuva
586,Maceió,-4.1,49,trovoada
587,Goiania,13.9,65,poucas nuvens
588,Fortaleza,27.0,98,poucas nuvens
589,Belo Horizonte,26.9,89,céu limpo
590,Duque de Caxias,20.3,59,névoa
591,Fortaleza,28.8,58,poucas nuvens
592,Porto Alegre,5.8,74,neve
593,Teresina,24.7,27,neve
594,Campinas,-4.4,31,céu limpo
595,São Paulo,25.5,99,neve
596,Fortaleza,26.5,34,trovoada
597,São Paulo,36.6,39,neve
598,Duque de Caxias,39.7,23,nuvens quebradas
599,Curitiba,36.7,69,nuvens dispersas
600,Goiania,25.1,60,neve
601,Duque de Caxias,23.4,93,nuvens quebradas
602,São Gonçalo,3.2,28,trovoada
603,Goiania,2.9,96,nuvens dispersas
604,Brasília,31.2,49,névoa
605,Salvador,32.7,65,trovoada
606,Rio de Janeiro,12.8,88,poucas nuvens
607,São Gonçalo,29.2,29,nuvens dispersas
608,Maceió,-4.8,94,neve
609,Teresina,1.4,84,poucas nuvens
610,Curitiba,27.1,20,trovoada
611,Campinas,12.0,56,poucas nuvens
612,Teresina,28.4,54,nuvens dispersas
613,Curitiba,12.6,38,névoa
614,Manaus,16.5,86,névoa
615,Belém,30.9,60,neve
616,São Gonçalo,16.2,81,chuva
617,Rio de Janeiro,32.9,37,chuva
618,Curitiba,27.4,61,poucas nuvens
619,Teresina,1.8,22,nuvens quebradas
620,Manaus,14.6,64,nuvens quebradas
621,Guarulhos,30.6,21,poucas nuvens
622,Porto Alegre,0.3,85,chuva
623,Guarulhos,14.5,47,nuvens quebradas
624,São Luís,-0.3,42,chuva
625,Salvador,37.0,23,trovoada
626,Teresina,24.5,85,neve
627,Goiania,-4.4,88,nuvens dispersas
628,Guarulhos,19.0,58,chuva
629,Teresina,9.7,52,chuva
630,Goiania,26.9,25,nuvens quebradas
631,Manaus,-4.1,42,neve
632,Porto Alegre,15.4,47,nuvens dispersas
633,Rio de Janeiro,22.9,49,poucas nuvens
634,Maceió,31.4,71,trovoada
635,Guarulhos,11.0,94,céu limpo
636,Brasília,-3.7,56,neve
637,Rio de Janeiro,26.6,81,chuva leve
638,Manaus,13.5,89,nuvens dispersas
639,Natal,-3.0,67,nuvens quebradas
640,Campinas,10.7,57,nuvens quebradas
641,Natal,5.3,25,chuva
642,Maceió,16.7,90,nuvens dispersas
643,Rio de Janeiro,16.8,71,nuvens dispersas
644,Salvador,28.0,82,névoa
645,São Luís,0.7,84,céu limpo
646,Recife,6.4,26,névoa
647,Belo Horizonte,27.3,46,nuvens quebradas
648,Salvador,31.6,90,poucas nuvens
649,São Gonçalo,26.4,29,chuva
650,São Luís,0.3,32,trovoada
651,Duque de Caxias,26.0,87,nuvens quebradas
652,Recife,38.4,99,poucas nuvens
653,Porto Alegre,32.4,70,nuvens quebradas
654,Belo Horizonte,38.3,45,poucas nuvens
655,Campinas,25.0,57,nuvens quebradas
656,Teresina,36.7,82,nuvens dispersas
657,Fortaleza,-3.7,69,poucas nuvens
658,Maceió,32.0,71,céu limpo
659,Natal,39.6,92,nuvens quebradas
660,Brasília,24.4,42,nuvens quebradas
661,Porto Alegre,25.8,83,céu limpo
662,São Gonçalo,21.1,29,chuva leve
663,Duque de Caxias,19.7,32,céu limpo
664,Belém,14.0,46,neve
665,Fortaleza,38.0,33,nuvens dispersas
666,Porto Alegre,35.5,42,chuva leve
667,Porto Alegre,32.8,67,céu limpo
668,São Paulo,32.5,46,nuvens quebradas
669,Guarulhos,22.6,51,céu limpo
670,Rio de Janeiro,20.8,72,céu limpo
671,Goiania,22.4,58,chuva
672,Belém,5.6,68,trovoada
673,Goiania,36.9,32,nuvens dispersas
674,Brasília,30.8,30,nuvens dispersas
675,São Gonçalo,-3.5,37,nuvens quebradas
676,Teresina,27.5,66,poucas nuvens
677,Campinas,37.0,90,poucas nuvens
678,Maceió,10.2,73,nuvens dispersas
679,Belo Horizonte,0.3,53,poucas nuvens
680,Natal,34.0,63,nuvens quebradas
681,Recife,14.9,80,névoa
682,Manaus,19.1,32,poucas nuvens
683,Maceió,10.6,92,nuvens dispersas
684,Porto Alegre,-4.8,37,trovoada
685,Brasília,-2.2,90,nuvens dispersas
686,Teresina,8.9,72,trovoada
